25 Jan 23 - 07:57,"Jadwal dan Lokasi Vaksinasi Booster di Balikpapan Hari Ini, 25 Januari 2023",12128,publish,Yes,Kabar Kalimantan,-
25 Jan 23 - 08:14,Berikut Daftar Vaksin Booster Dosis Kedua yang Digunakan di Balikpapan,11978,publish,Yes,Kabar Kalimantan,Headline
03 Apr 23 - 12:25,Pasar Murah Inflasi Digelar Hari Ini Sampai 7 April di Balikpapan,11968,publish,Yes,Bisnis Kalimantan,-
16 Apr 21 - 02:07,Pemprov Kaltim Tidak Larang Warga Mudik Dalam Daerah,11929,publish,Yes,Kabar Kalimantan,-
16 Jan 23 - 05:22,"Mulai Rokok Filter hingga Perumahan, Berikut Deretan Penentu Garis Kemiskinan di Kaltim",11908,publish,Yes,Bisnis Kalimantan,-
28 Nov 22 - 02:55,"UMP Kaltim 2023 Naik 6,2 Persen, Jadi Rp3,2 Juta",11895,publish,Yes,Kabar Kalimantan,Headline
02 Feb 23 - 09:21,Pemindahan IKN Berdampak ke Infrastruktur di Benua Etam,11853,publish,Yes,Kabar Kalimantan,Headline
05 Apr 21 - 11:06,"Kawasan IKN di Kaltim Tengah Dipersiapkan, Begini Kondisinya",11723,publish,Yes,Kabar Kalimantan,-
16 Jan 21 - 06:29,CGV Plaza Balikpapan Tutup Selama PPKM,11524,publish,Yes,Kabar Kalimantan,-
12 Apr 23 - 04:29,Satu Perusahaan di Balikpapan Sudah Melapor tak Bisa Bayar THR,11425,publish,Yes,Bisnis Kalimantan,-
16 Dec 20 - 08:17,11 Orang Dalam Satu Keluarga Positif Covid-19 di Balikpapan,11381,publish,Yes,Kabar Kalimantan,Headline
29 Mar 22 - 09:48,Cek! Jadwal dan Lokasi Vaksinasi Booster di Kota Balikpapan,11345,publish,Yes,Nasional,-
26 Mar 21 - 06:29,"Mulai 1 April, Bandara APT Pranoto Samarinda Gunakan GeNose",11288,publish,Yes,Kabar Kalimantan,-
02 Feb 23 - 02:36,Puluhan Ribu Peserta BPJS Kesehatan di Balikpapan Menunggak Iuran,11062,publish,Yes,Kabar Kalimantan,-
20 Sep 21 - 01:35,"KKP Kelas II Balikpapan Sediakan Vaksin untuk Warga, Ini Syaratnya",10941,publish,Yes,Kabar Kalimantan,-
07 Sep 22 - 02:40,Penataan Simpang Muara Rapak Kota Balikpapan Temui Titik Terang,10923,publish,Yes,Kabar Kalimantan,Headline
09 Dec 22 - 02:16,Pembangunan Infrastruktur IKN Dorong Penjualan Semen di Kaltim,10881,publish,Yes,Bisnis Kalimantan,-
24 Feb 23 - 09:45,"Pemerintah Bakal Boyong 16.990 ASN, TNI-Polri ke IKN Tahun 2024",10872,publish,Yes,Kabar Kalimantan,-
16 Feb 23 - 07:08,"Warga Balikpapan Banyak Pilih Kerja di Industri Migas, Ini Kata Disnaker",10867,publish,Yes,Kabar Kalimantan,-
29 Jun 22 - 01:28,"Kembangkan Kawasan Industri Kariangau, Perumda Balikpapan Gandeng Perusahaan Pelat Merah",10865,publish,Yes,Bisnis Kalimantan,-
07 Apr 21 - 07:22,"Rusia Tertarik Investasi Energi di Kalbar, Mulai dari Listrik hingga Nuklir",10840,publish,Yes,Ekonomi,-
19 May 22 - 08:38,"Lokasi Vaksinasi Covid-19 di Balikpapan, 19 Mei 2022",10809,publish,Yes,Kabar Kalimantan,-
01 Jul 22 - 05:28,"Ekspor Batu Bara Kaltim Loyo Sepanjang Mei 2022, Hasil Pertanian Ngegas Hingga 261 Persen",10786,publish,Yes,Bisnis Kalimantan,-
19 Feb 21 - 08:06,"Menjadi Bandara Pengumpul, Bandara APT Pranoto Tinjau Ulang Masterplan",10763,publish,Yes,Bisnis Kalimantan,-
14 Mar 23 - 05:47,"Ekspor Pisang Kaltim, Bikin Petani Happy Hingga Alternatif Bagi Kelapa Sawit",10747,publish,Yes,Bisnis Kalimantan,-
06 Dec 22 - 12:34,Bank Indonesia Tawarkan Kaltim Obat Anti Ketergantungan Batu Bara,10732,publish,Yes,Kabar Kalimantan,Headline
18 Apr 23 - 05:12,SPKLU Pertama di Kaltara Segera Hadir,10691,publish,Yes,Bisnis Kalimantan,-
04 Jul 22 - 02:10,Pemprov Kaltim Optimistis Pertumbuhan Ekonomi Capai 3 Persen Akhir Tahun Ini,10691,publish,Yes,Bisnis Kalimantan,Headline
25 Mar 22 - 10:19,Jadwal dan Lokasi Vaksinasi di Balikpapan Hari ini,10685,publish,Yes,Kabar Kalimantan,-
17 Apr 23 - 02:35,Dana Pihak Ketiga di Kaltim Tertinggi dalam 4 Tahun Terakhir,10680,publish,Yes,Bisnis Kalimantan,Headline
24 Nov 20 - 10:44,Sah! Balikpapan Izinkan Sekolah Tatap Muka Mulai 12 Januari 2021,10633,publish,Yes,Kabar Kalimantan,-
27 Jun 22 - 01:25,"Kacau! Harga TBS Anjlok, Petani Swadaya Diklaim Hanya Terima Rp300 Per Kilogram",10605,publish,Yes,Bisnis Kalimantan,Headline
13 May 22 - 08:17,"Dana CSR Jadi Sorotan, PT Bayan Resources Tbk. Klarifikasi Pernyataan Wagub Kaltim",10591,publish,Yes,Bisnis Kalimantan,-
26 Oct 22 - 03:25,"Realisasi Investasi Kaltara Rp3,36 Triliun Semester I/2022, Pertambangan Mendominasi",10526,publish,Yes,Bisnis Kalimantan,Headline
21 Dec 20 - 10:56,Waspada! Klaster Baru Penularan Covid 19 Bermunculan di Balikpapan,10521,publish,Yes,Kabar Kalimantan,-
06 Sep 22 - 03:34,"Batu Bara dan Ekonomi Kaltim, Begini Potret Satu Dekade Terakhir",10517,publish,Yes,Bisnis Kalimantan,Headline
26 Jan 21 - 03:00,Balikpapan Manfaatkan Sampah Untuk Sumber Energi Terbarukan,10442,publish,Yes,Kabar Kalimantan,-
13 Dec 22 - 02:40,Catat! Vaksin Indovac Sudah Beredar di Balikpapan Mulai Hari Ini,10414,publish,Yes,Kabar Kalimantan,Headline
18 Aug 21 - 07:42,Pemprov Kalteng Putuskan Tidak Memperpanjang PPKM Level 4,10413,publish,Yes,Kabar Kalimantan,Headline
